[2020-08-28 00:57:12.766] Starting up round ID .
 - -------------------------
[2020-08-28 00:58:44.878] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (117, 81, 2))
[2020-08-28 00:58:54.903] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (119, 82, 2))
[2020-08-28 00:59:08.907] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (117, 82, 2))
[2020-08-28 00:59:14.929] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 82, 2))
[2020-08-28 01:00:00.932] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 80, 2))
[2020-08-28 01:00:25.134] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:00:49.164] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:01:05.142] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:01:15.146] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-08-28 01:01:17.147] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:01:27.146] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:05:05.822] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:05:13.824] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-08-28 01:05:49.832] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-08-28 01:06:25.889] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (119, 80, 2))
[2020-08-28 01:06:45.916] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 79, 2))
[2020-08-28 01:06:49.932] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (118, 80, 2))
[2020-08-28 01:07:13.933] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 81, 2))
